#TYPE;Selected.System.Management.ManagementObject;;
date;user;productname;
21.9.2017;10:07:34;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3080079)
21.9.2017;10:07:34;NT AUTHORITY\SYSTEM;Microsoft Silverlight (KB4023307)
21.9.2017;10:07:34;NT AUTHORITY\SYSTEM;2017-09, verze Preview m?s??n? kumulativn? aktualizace pro zv??en? kvality pro Windows 7 pro syst?my s?procesorem x86 (KB4038803
21.9.2017;10:07:34;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2830477)
21.9.2017;10:07:34;NT AUTHORITY\SYSTEM;Feature Pack - Microsoft Security Essentials - 4.9.218.0 (KB3140479)
21.9.2017;10:07:34;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2592687)
21.9.2017;10:07:33;NT AUTHORITY\SYSTEM;Feature Pack - Microsoft Security Essentials - 4.4.304.0 (KB2902907)
21.9.2017;10:07:33;NT AUTHORITY\SYSTEM;Internet Explorer 11 pro Windows 7
20.9.2017;13:05:57;NT AUTHORITY\SYSTEM;Aktualizace pro n?pov?du aplikace Microsoft Office PowerPoint 2007 (KB963669)
20.9.2017;13:05:50;NT AUTHORITY\SYSTEM;Security Update for CAPICOM (KB931906)
20.9.2017;13:05:41;NT AUTHORITY\SYSTEM;Aktualizace pro: Microsoft Office Outlook 2007 Junk Email Filter (KB3115461)
20.9.2017;13:05:14;NT AUTHORITY\SYSTEM;Aktualizace pro n?pov?du aplikace Microsoft Office Word 2007 (KB963665)
20.9.2017;13:05:05;NT AUTHORITY\SYSTEM;Aktualizace pro syst?m Microsoft Office 2007 (KB967642)
20.9.2017;13:03:54;NT AUTHORITY\SYSTEM;Aktualizace pro n?pov?du aplikace Microsoft Office Excel 2007 (KB963678)
20.9.2017;13:03:41;NT AUTHORITY\SYSTEM;Aktualizace Microsoft Office Suite 2007 Service Pack 3 (SP3)
20.9.2017;12:52:43;NT AUTHORITY\SYSTEM;Aktualizace pro: Microsoft Office Outlook 2007 Junk Email Filter (KB2825642)
20.9.2017;12:52:03;NT AUTHORITY\SYSTEM;Internet Explorer 11 pro Windows 7
20.9.2017;12:50:57;NT AUTHORITY\SYSTEM;Aktualizace pro: Microsoft Office 2007 suites (KB2767916)
20.9.2017;10:52:18;NT AUTHORITY\SYSTEM;Internet Explorer 11 pro Windows 7
19.9.2017;16:40:46;NT AUTHORITY\SYSTEM;2017-09 kumulativn? aktualizace zabezpe?en? a pro zv??en? kvality pro rozhran? .NET Framework 3.5.1, 4.5.2, 4.6, 4.6.1, 4.6.2 a 
19.9.2017;16:29:30;NT AUTHORITY\SYSTEM;Internet Explorer 11 pro Windows 7
19.9.2017;14:32:41;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2970228)
19.9.2017;14:15:59;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2647753)
19.9.2017;14:15:59;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3150513)
