#TYPE Selected.Microsoft.Windows.Appx.PackageManager.Commands.AppxPackage
"Name","Version","Publisher"
"Microsoft.People","10.2.1931.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.MicrosoftStickyNotes","1.8.2.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Messaging","3.31.5001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Getstarted","5.11.1641.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"AD2F1837.HPPrinterControl","75.1.298.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26"
"Microsoft.NET.Native.Runtime.1.1","1.1.23406.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.NET.Native.Runtime.1.1","1.1.23406.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.NET.Native.Framework.1.2","1.2.23231.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.NET.Native.Framework.1.2","1.2.23231.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"B4D42709.CheckPointVPN","1.0.14.0","CN=6B65560D-5C5B-463A-B667-B36F4C2B32A7"
"Microsoft.XboxGameOverlay","1.19.11001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsMaps","5.1706.2001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.DesktopAppInstaller","1.0.10332.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.GetHelp","10.1706.1981.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.MicrosoftOfficeHub","17.8414.5925.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsFeedbackHub","1.1705.2121.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.XboxApp","31.32.11001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.StorePurchaseApp","11707.1707.25006.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.VCLibs.140.00.UWPDesktop","14.0.24217.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.VCLibs.140.00.UWPDesktop","14.0.24217.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.MSPaint","3.1708.14027.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Print3D","1.0.1991.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"microsoft.windowscommunicationsapps","17.8400.41055.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
